,Company,Location,Role
0,PhonePe Private Limited,Karnataka,HR Analytics
1,Urban Company,Karnataka,Business Development
2,Brand Mantra,Delhi NCR,Operations
3,C.H. Robinson,Maharastra,Data Science
4,Odyssey,Delhi NCR,Business Analytics (Software Development)
5,Voxco,Remote,Data Mining
6,Blackcoffer,Remote,Data Science
7,Spring Foundation,Delhi NCR,Artificial Intelligence & Machine Learning
8,Helios Tech,Other,Data Analytics
9,Paisso,Other,Data Analytics
10,Digite Infotech Private Limited,Remote,Integration Consulting
11,Stirring Minds,Delhi NCR,Data Science
12,Smart Cricket Global Limited,Karnataka,Computer Vision
13,Sparsh India Couture,Delhi NCR,Data Analytics
14,Neha Yadav,Remote,ML Dev
15,Everest Fleet Private Limited,Other,Data Analytics
16,Expedite Informatics Private Limited,Maharastra,Database Administration
17,Mala Reddy,Remote,Social Media Marketing
18,DialaBank,Other,Data Analytics
19,Insight Gro Education Private Limited,Remote,Data Science
20,Bitindx Investment Services Private Limited,Remote,Social Media Marketing
21,Sonant Technologies Private Limited,Other,Data Science
22,BrightChamps Tech Private Limited,Remote,Data Analytics
23,Buddha Education Association Incorporation,Remote,Machine Learning
24,Rodeo Travel Technologies,Remote,Data Science
25,KaroStartup,Remote,Backend Development
26,Vision Insight,Maharastra,Data Science
27,Primary Healthtech,Other,Business Analytics
28,Terra Economics Analysis Lab,Remote,Data Annotation
29,Grainmart,Remote,Export Import Data Analyst
30,Sensor Equation,Remote,Data Engineering
31,Spritle Software,Other,Data Annotation (Machine Learning)
32,Girl Power Talk,Remote,Fin-tech & Big Data
33,KUKbit Software Lab,Maharastra,Machine Learning
34,Pericius Technologies Private Limited,Remote,Business Analytics
35,Vayuz Technologies Private Limited,Remote,Business Analytics
36,HappiMynd,Remote,Operations
37,Sumaiya Industries Private Limited,Remote,Artificial Intelligence & Machine Learning
38,FSM Buddy - Furtados School Of Music,Maharastra,SQL Development
39,ArabEasy,Delhi NCR,Business Analysis
40,Nirvana Solutions,Remote,Financial Data Analytics
41,Moneytor,Maharastra,Data Analyst
42,Augmentr Ai,Remote,Machine Learning & Artificial Intelligence
43,Blackcoffer,Remote,Data Engineering
44,Elite Techno Groups,Remote,Data Science & Machine Learning
45,Across The Globe (ATG),Remote,Product Management (Technical)
46,PV Diagnostics,Other,Data Pre-processing & Standardization Related To Solar Plants
47,Yojak,Delhi NCR,Data Analysis
48,Daten & Wissen Private Limited,Maharastra,Data Annotation
49,State Mount Capital,Remote,Data Engineering
50,Wobot Intelligence Private Limited,Remote,Data Verification
51,Wobot Intelligence Private Limited,Remote,Data Scraping
52,Agrex Technologies Private Limited,Delhi NCR,Deep Learning
53,Gandhi Special Tubes Limited,Maharastra,Financial Analysis
54,Destek Infosolutions Private Limited,Remote,Business Analytics
55,Gfactors,Karnataka,Machine Learning/Management Trainee
56,Grroom,Remote,Python Automation
57,Garudaastra Aeroinventive Solutions Private Limited,Telengana,Market Research Analysis
58,Be Zen,Remote,Data Science
59,NextEdge Labs,Remote,Business Analysis/Project Management
60,CogSciAi - Cognitive Science Artificial Intelligence Private Limited,Karnataka,Technical Program Management
61,PythonMate,Other,Business Analytics
62,LeadersBridge,Remote,Business Analytics
63,TechWeirdo Consultancy Private Limited,Remote,Data Science
64,Quadiro Technologies LLP,Remote,Business Analytics
65,IndicWiki- IIIT Hyderabad,Remote,Web Development
66,Markytics,Remote,Data Science (Django)
67,Coding Junior,Remote,Data Science
68,Prakriti Textiles,Remote,Data Science
69,Stirring Minds,Remote,Data Science
70,Stirring Minds,Remote,Business Analytics
71,Enerjazz,Delhi NCR,Data Analysis
72,ComicSense.xyz,Other,Data Analysis
73,Unlimited Unnati,Other,Business Analysis
74,Vah Vah!,Karnataka,Business Analytics
75,Brand Ticks,Maharastra,Machine Learning/Data Analysis
76,Analinear Technologies,Telengana,Data Annotation
77,Leverage Edu,Delhi NCR,Marketing Analytics
78,Testbook,Remote,Teaching Assistance (Data Science)
79,Lawazia Tech,Remote,Big Data
80,Ashish Verma (AI-Yuga Algorithms),Remote,Content Labelling & Cleaning
81,Blackcoffer,Remote,Research (AI/ML)
82,Blackcoffer,Remote,Business Analysis
83,Dough One Sources Private Limited,Delhi NCR,Business Analysis
84,ERP DADDY Software Solutions,Other,Research Analysis
85,Fedo,Karnataka,Data Science
86,Medius Technologies Private Limited,Remote,Web Scrapping
87,Softsensor.ai,Remote,Data Analytics
88,XQuantum OPC Private Limited,Remote,Data Science
