,Company Name,Location,Job Title,Description,JOB,Location.1,State,Python,SQL,R language,Linux,0,Cloud,Revenue,No of employee
0,Bosch Group,"Bengaluru, Karnataka",newData Scientist – AI / Deep Learning for Automated Driving,3.Most importantly – data aptitude..Looking at the nature of the data8.Define the next set of data or experiments forward.,Data Scientist,Bengaluru, Karnataka,0,0,0,0,0,AWS,77.721,31000
1,Standard Chartered,"Chennai, Tamil Nadu","newData Scientist, AIML",Manage a team dedicated for reviewing models related unstructured and structured dataUse NLP Vision and ML techniques to bring order to unstructured data.,Data Scientist,Chennai, Tamil Nadu,1,0,0,1,0,AWS,14.701,85000
2,Kaplan,"Bengaluru, Karnataka",newAssociate Data Scientist,Collaborate and help other data scientistsExtract manipulate analyze & interpret data from various corporate data sources developing.,Data Scientist,Bengaluru, Karnataka,1,0,0,0,0,AWS,1.3,12000
3,Corteva Agriscience,"Hyderabad, Telangana",newAssociate Data Scientist,Leverage data science and data engineering resources capabilities and best practices from the Corteva Data Science group.,Data Scientist,Hyderabad, Telangana,1,0,0,1,0,AWS,14.271,21000
4,UnitedHealth Group,"Bengaluru, Karnataka",Assc Data Scientist,4.Must have experience in working with end to end data engineering projects and data science projects and setting up required tools in Linux environment for…,Data Scientist,Bengaluru, Karnataka,1,0,0,0,0,AWS,285.1,300000
5,HP,"Bengaluru, Karnataka",Data Scientist,Key metrics include Forecast Accuracy and biasApply Statistical forecasting algorithms to forecast Personal system business for short term and longterm…,Data Scientist,Bengaluru, Karnataka,1,1,0,0,0,AWS,56.64,53000
6,Deloitte,"Bengaluru, Karnataka",Data Scientist,Present information using data visualization techniquesPerform exploratory data analyses using descriptive statistics and other methods.,Data Scientist,Bengaluru, Karnataka,1,0,0,1,0,AWS,50.2,334800
7,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",newData Scientist - ML,Strong understanding of advanced data mining techniques curating processing and transforming data to produce sound datasets.,Data Scientist,Bengaluru, Karnataka,1,0,0,1,0,AWS,119.54,256105
8,3SC Solutions,India,Data Scientist,Process and analyze sales data; gather additional data sources that would improve model accuracyExperience with large data sets.,Data Scientist,India,Bengaluru,1,0,0,0,0,AWS,0.055,221
9,Orange Business Services,India,newData Scientist,Defines company data assets jobs to populate data modelsDevelops and maintains scalable data pipelines and builds out new API integrations to support…,Data Scientist,India,Bengaluru,1,1,0,1,0,AWS,8.41,21000
