,Date,Company Name,Location,Job Title,Description
0,Posted3 days ago,Bosch Group,"Bengaluru, Karnataka",newData Scientist – AI / Deep Learning for Automated Driving,"3.Most importantly – data aptitude.
1.Looking at the nature of the data.
8.Define the next set of data or experiments forward."
1,Posted3 days ago,Standard Chartered,"Chennai, Tamil Nadu","newData Scientist, AIML","Manage a team dedicated for reviewing models related unstructured and structured data.
Use NLP, Vision and ML techniques to bring order to unstructured data."
2,PostedToday,Kaplan,"Bengaluru, Karnataka",newAssociate Data Scientist,"Collaborate and help other data scientists.
Extract, manipulate, analyze & interpret data from various corporate data sources developing."
3,Posted1 day ago,Corteva Agriscience,"Hyderabad, Telangana",newAssociate Data Scientist,"Leverage data science and data engineering resources, capabilities, and best practices from the Corteva Data Science group."
4,Posted14 days ago,UnitedHealth Group,"Bengaluru, Karnataka",Assc Data Scientist,4.Must have experience in working with end to end data engineering projects and data science projects and setting up required tools in Linux environment for…
5,Posted14 days ago,HP,"Bengaluru, Karnataka",Data Scientist,"Key metrics include, Forecast Accuracy and bias.
Apply Statistical forecasting algorithms to forecast Personal system business for short term and long-term…"
6,Posted30+ days ago,Deloitte,"Bengaluru, Karnataka",Data Scientist,"Present information using data visualization techniques.
Perform exploratory data analyses using descriptive statistics and other methods."
7,PostedJust posted,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",newData Scientist - ML,"Strong understanding of advanced data mining techniques, curating, processing and transforming data to produce sound datasets."
8,Posted29 days ago,3SC Solutions,India,Data Scientist,"Process and analyze sales data; gather additional data sources that would improve model accuracy.
Experience with large data sets."
9,Posted1 day ago,Orange Business Services,India,newData Scientist,"Defines company data assets jobs to populate data models.
Develops and maintains scalable data pipelines and builds out new API integrations to support…"
10,PostedToday,Maersk,"Pune, Maharashtra",newData Scientist,"2 Participate in data science products, be hands-on and extract, curate and prepare data and build statistical models and digital solutions to extract value and…"
11,Posted8 days ago,Jumio Corporation,"Jaipur, Rajasthan",Data Scientist,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques."
12,Posted9 days ago,Expleo,"Pune, Maharashtra",Data Scientist,"Data Storytelling: Summarizes data analysis findings and guides readers through a compelling, data-driven story.
Experience in ML and AI."
13,Posted1 day ago,Microland,"Bengaluru, Karnataka",newAssociate Data Scientist,"ETL, Enterprise Data Management, Data Warehousing, Power BI."
14,PostedToday,Onward Group,"Chennai, Tamil Nadu",newData Scientist_ML_NLP,"Experience handling large volumes of data.
For large global companies, Onward Technologies is the services provider who can help translate your vision into…"
15,Posted3 days ago,Smiths Detection,"Bengaluru, Karnataka",newData Scientist,"Understanding of data structures, data modeling and software architecture.
At least 1 year of experience as data scientist using AI/ML/DL algorithms and…"
16,Posted30+ days ago,DBS Bank,Maharashtra,Data Scientist,"To support the data driven decision making for DBS products, processes, and business through the creation of data dashboards, infographics, models per business…"
