,Company,Location,Role
0,PhonePe Private Limited,Bangalore,HR Analytics
1,Urban Company,Bangalore,Business Development
2,Brand Mantra,Delhi,Operations
3,C.H. Robinson,Mumbai,Data Science
4,Odyssey,Gurgaon,Business Analytics (Software Development)
5,Voxco,Work From Home,Data Mining
6,Blackcoffer,Work From Home,Data Science
7,Spring Foundation,Delhi,Artificial Intelligence & Machine Learning
8,Helios Tech,Chandigarh,Data Analytics
9,Paisso,Chandigarh,Data Analytics
10,Digite Infotech Private Limited,Work From Home,Integration Consulting
11,Stirring Minds,Delhi,Data Science
12,Smart Cricket Global Limited,Bangalore,Computer Vision
13,Sparsh India Couture,Delhi,Data Analytics
14,Neha Yadav,Work From Home,ML Dev
15,Everest Fleet Private Limited,Thane,Data Analytics
16,Expedite Informatics Private Limited,Pune,Database Administration
17,Mala Reddy,Work From Home,Social Media Marketing
18,DialaBank,Mohali,Data Analytics
19,Insight Gro Education Private Limited,Work From Home,Data Science
20,Bitindx Investment Services Private Limited,Work From Home,Social Media Marketing
21,Sonant Technologies Private Limited,Jaipur,Data Science
22,BrightChamps Tech Private Limited,Work From Home,Data Analytics
23,Buddha Education Association Incorporation,Work From Home,Machine Learning
24,Rodeo Travel Technologies,Work From Home,Data Science
25,KaroStartup,Work From Home,Backend Development
26,Vision Insight,Mumbai,Data Science
27,Primary Healthtech,Guwahati,Business Analytics
28,Terra Economics Analysis Lab,Work From Home,Data Annotation
29,Grainmart,Work From Home,Export Import Data Analyst
30,Sensor Equation,Work From Home,Data Engineering
31,Spritle Software,Chennai,Data Annotation (Machine Learning)
32,Girl Power Talk,Work From Home,Fin-tech & Big Data
33,KUKbit Software Lab,Pune,Machine Learning
34,Pericius Technologies Private Limited,Work From Home,Business Analytics
35,Vayuz Technologies Private Limited,Work From Home,Business Analytics
36,HappiMynd,Work From Home,Operations
37,Sumaiya Industries Private Limited,Work From Home,Artificial Intelligence & Machine Learning
38,FSM Buddy - Furtados School Of Music,Mumbai,SQL Development
39,ArabEasy,Gurgaon,Business Analysis
40,Nirvana Solutions,Work From Home,Financial Data Analytics
41,Moneytor,Mumbai,Data Analyst
42,Augmentr Ai,Work From Home,Machine Learning & Artificial Intelligence
43,Blackcoffer,Work From Home,Data Engineering
44,Elite Techno Groups,Work From Home,Data Science & Machine Learning
45,Across The Globe (ATG),Work From Home,Product Management (Technical)
46,PV Diagnostics,Indore,Data Pre-processing & Standardization Related To Solar Plants
47,Yojak,Gurgaon,Data Analysis
48,Daten & Wissen Private Limited,Mumbai,Data Annotation
49,State Mount Capital,Work From Home,Data Engineering
50,Wobot Intelligence Private Limited,Work From Home,Data Verification
51,Wobot Intelligence Private Limited,Work From Home,Data Scraping
52,Agrex Technologies Private Limited,Gurgaon,Deep Learning
53,Gandhi Special Tubes Limited,Mumbai,Financial Analysis
54,Destek Infosolutions Private Limited,Work From Home,Business Analytics
55,Gfactors,Bangalore,Machine Learning/Management Trainee
56,Grroom,Work From Home,Python Automation
57,Garudaastra Aeroinventive Solutions Private Limited,Hyderabad,Market Research Analysis
58,Be Zen,Work From Home,Data Science
59,NextEdge Labs,Work From Home,Business Analysis/Project Management
60,CogSciAi - Cognitive Science Artificial Intelligence Private Limited,Bangalore,Technical Program Management
61,PythonMate,Indore,Business Analytics
62,LeadersBridge,Work From Home,Business Analytics
63,TechWeirdo Consultancy Private Limited,Work From Home,Data Science
64,Quadiro Technologies LLP,Work From Home,Business Analytics
65,IndicWiki- IIIT Hyderabad,Work From Home,Web Development
66,Markytics,Work From Home,Data Science (Django)
67,Coding Junior,Work From Home,Data Science
68,Prakriti Textiles,Work From Home,Data Science
69,Stirring Minds,Work From Home,Data Science
70,Stirring Minds,Work From Home,Business Analytics
71,Enerjazz,Noida,Data Analysis
72,ComicSense.xyz,Jaipur,Data Analysis
73,Unlimited Unnati,Ahmedabad,Business Analysis
74,Vah Vah!,Bangalore,Business Analytics
75,Brand Ticks,Mumbai,Machine Learning/Data Analysis
76,Analinear Technologies,Hyderabad,Data Annotation
77,Leverage Edu,Noida,Marketing Analytics
78,Testbook,Work From Home,Teaching Assistance (Data Science)
