,Company,Location,Role
0,Azea,Work From Home,Machine Learning
1,SkillBit,Pune,Machine Learning
2,Spring Foundation,Delhi,Artificial Intelligence & Machine Learning
3,Smart Cricket Global Limited,Bangalore,Computer Vision
4,Neha Yadav,Work From Home,ML Dev
5,Buddha Education Association Incorporation,Work From Home,Machine Learning
6,KaroStartup,Work From Home,Backend Development
7,Terra Economics Analysis Lab,Work From Home,Data Annotation
8,Spritle Software,"Chennai, Coimbatore, Madurai, Trichey",Data Annotation (Machine Learning)
9,KUKbit Software Lab,Pune,Machine Learning
10,Augmentr Ai,Work From Home,Machine Learning & Artificial Intelligence
11,Blackcoffer,Work From Home,Data Engineering
12,Elite Techno Groups,Work From Home,Data Science & Machine Learning
13,Daten & Wissen Private Limited,Mumbai,Data Annotation
14,Agrex Technologies Private Limited,Gurgaon,Deep Learning
15,Gfactors,Bangalore,Machine Learning/Management Trainee
16,CogSciAi - Cognitive Science Artificial Intelligence Private Limited,"Bangalore, Hyderabad",Technical Program Management
17,IndicWiki- IIIT Hyderabad,Work From Home,Web Development
18,Brand Ticks,Mumbai,Machine Learning/Data Analysis
19,Blackcoffer,Work From Home,Research (AI/ML)
20,XQuantum OPC Private Limited,Work From Home,Data Science
21,JMAAA Infotech Private Limited,Work From Home,Wearable Robotics & Technologies Management
22,Myraa Technologies,Work From Home,Deep Learning
23,Yhills Edutech Private Limited,Work From Home,Subject Matter Expert (Machine Learning)
24,SkillBit,Work From Home,Machine Learning
25,Tekolutions,Work From Home,Machine Learning
26,Tekolutions,Work From Home,Artificial Neural Networks
27,Newgen Creations Private Limited,Chennai,Machine Learning
28,Newgen Creations Private Limited,"Bangalore, Hyderabad",Machine Learning
29,Flecso Finance,Work From Home,Machine Learning
30,Clavrit Digital Solutions,Work From Home,Machine Learning
31,Fixcraft.in,Work From Home,Image Labelling
32,Lincode Labs Private Limited,"Chennai, Pune, Bangalore, Hyderabad",Data Science
33,Darshan Bhanushali,Work From Home,Robotics Machine Learning Engineering
34,ContractKen,Work From Home,Machine Learning (NLP)
35,Angels Virtual World,Delhi,Machine Learning
36,Velozity Global Solutions,Work From Home,Machine Learning
37,Feynn Labs,Work From Home,Machine Learning
38,On My Own Technology Private Limited,"Delhi, Pune, Mumbai",Machine Learning/Artificial Intelligence
39,KUKbit Software Lab,Work From Home,Machine Learning
40,Pucho Digital Health Inc.,Work From Home,Deep Learning Research
41,Constems-AI Systems Private Limited,Work From Home,DNN - Deep Neural Network & Machine Learning (AI Application)
42,Revca,Work From Home,Wastewater And Water Management Engineering
43,EnR Consultancy Services,Work From Home,Machine Learning
44,The Tann Mann Foundation,Work From Home,Machine Learning Engineering
45,Robocom International,Work From Home,Deep Learning Engineering
46,Gloify,Bangalore,Machine Learning
47,Qure.ai,Work From Home,Data Science (Radiology)
48,Vasundharaa Geo Technologies Private Limited,Pune,Machine Learning (Data Science)
49,Kamdhenu Robotics,Work From Home,Computer Vision & AI (Robotics)
50,Alphabt,Work From Home,Computer Vision (AI-Based)
51,FlexiEle Consulting Services Private Limited,Work From Home,OpenCV Authentication
52,Fezelearn Edtech,Lucknow,Machine Learning
53,"Indraprastha Institute Of Information Technology, Delhi",Delhi,Summer Research
54,Aryabhatta Research Institute Of Observational Sciences,Nainital,Computer Science
