,Company Name
0,Bosch Group
1,Standard Chartered
2,Kaplan
3,Corteva Agriscience
4,UnitedHealth Group
5,HP
6,Deloitte
7,"JPMorgan Chase Bank, N.A."
8,3SC Solutions
9,Orange Business Services
10,Maersk
11,Jumio Corporation
12,Expleo
13,Microland
14,Onward Group
15,Smiths Detection
16,DBS Bank
17,Indium Software
18,Narayana Health
19,citius tech
20,AIBridge ML
21,Confluent
22,MasterCard
23,Qualfon
24,Kyndryl
25,Ecolab
26,Unilever
27,Hewlett Packard Enterprise
28,Global Industrial
29,EY
30,Sutherland
31,Oracle
32,Société Générale
33,dunnhumby
34,Coinbase
35,Visa
36,HDFC Life
37,Bolt
38,umlaut AG
39,Fractal.ai
40,Tredence
41,Casepoint Pvt. Ltd.
42,Honeywell
43,Intel
44,Cliksource
45,Jacobs
46,Cummins Inc.
47,CGI Inc
48,Philips
49,SAP
50,CityLink Technology Solutions
51,BNY Mellon
52,Sofar Ocean
53,Walmart Global Tech India
54,Oportun Inc
55,Crowe
56,Cygnet Infotech
57,Uber
58,Vistex Asia-Pacific Private Ltd.
59,Signify
60,NatWest Group
61,Apple
62,Amex
63,Beinex
64,Kwalee
65,Mercedes-Benz Group AG
66,MABZONE IT SOLUTIONS
67,Paktolus
68,Ford Global Business Services
69,GE Aviation
70,Shell
71,Lam Research
72,IBM
73,The Luxury Closet
74,Microsoft
75,Postman
76,Vodafone
77,Boston Consulting Group
78,RedSeer Management Consulting
79,Brose
80,Maruti Suzuki India Ltd
81,BD
82,Canum Infotech
83,thyssenkrupp India Pvt. Ltd.
84,Cyient
85,Snowflake
86,Agoda Company
87,ExxonMobil
88,Morgan Stanley
89,Alstom
90,GSK
91,Delhivery
92,Open Insights
93,Netradyne
94,Atlassian
95,IHS Markit
96,Klevu Oy
97,Airtel India
98,PubMatic
99,Blackbuck
100,Infosys Limited
101,Tekion
102,mPokket
103,Michelin
104,Amazon Dev Center India - Hyd
105,GO-JEK
106,Autodesk
107,HGS
108,Ignitarium Technology Solutions
109,Elsevier
110,S&P Global
111,Blinkit
112,McAfee Enterprise
113,Surya Systems
114,Assurant
115,Ayla Networks
116,Qualys
117,Clariant
118,QuestAlliance
119,Siemens
120,Exapas
121,Medtronic
122,ArrayGen Technologies
123,ADCI - Karnataka
124,Dell Technologies
125,Micron
126,Tesco
127,GD Research Center
128,NTT DATA
129,ZF
130,Syneos Health Clinical
131,Bayer
132,Kimberly-Clark
133,Spiceworks
134,Texas Instruments
135,Myntra.com
136,Collins Aerospace
